word,COCA-Acad,ppm,ratio,disp
definitely,1898.00,15.82,0.33,0.94
harm,1898.00,15.82,1.05,0.93
suite,1896.00,15.80,0.76,0.83
abuse,1894.00,15.78,0.82,0.91
offense,1893.00,15.78,0.5,0.87
terrible,1892.00,15.77,0.33,0.93
interdisciplinary,1891.00,15.76,3.1,0.91
round,1889.00,15.74,0.57,0.91
crown,1888.00,15.73,0.87,0.9
Australian,1887.00,15.73,1.296604831,0.882161791
disparity,1887.00,15.73,2.02,0.91
besides,1886.00,15.72,0.58,0.95
predecessor,1885.00,15.71,1.36,0.92
speed,1885.00,15.71,0.78,0.87
pregnant,1884.00,15.70,0.5,0.91
prevailing,1884.00,15.70,2.07,0.94
exotic,1881.00,15.68,0.99,0.88
courage,1881.00,15.68,0.66,0.91
protected,1877.00,15.64,1.78,0.84
forge,1877.00,15.64,1.4,0.92
chaos,1875.00,15.63,0.82,0.92
disruption,1875.00,15.63,2.01,0.91
pile,1875.00,15.63,0.58,0.84
uniform,1873.00,15.61,1.7,0.9
wish,1873.00,15.61,0.78,0.93
radically,1873.00,15.61,1.95,0.93
injustice,1870.00,15.58,1.67,0.88
stick,1870.00,15.58,0.51,0.91
trick,1870.00,15.58,0.59,0.91
nowhere,1870.00,15.58,0.57,0.95
generator,1869.00,15.58,1.52,0.83
missing,1868.00,15.57,0.71,0.92
inspiration,1867.00,15.56,0.87,0.93
pass,1867.00,15.56,0.38,0.9
terrain,1867.00,15.56,1.02,0.9
caution,1866.00,15.55,1.37,0.95
stop,1864.00,15.53,0.42,0.91
appropriate,1862.00,15.52,2.15,0.93
generic,1858.00,15.48,1.82,0.91
accepted,1856.00,15.47,2.01,0.94
suburban,1856.00,15.47,0.71,0.92
reason,1851.00,15.43,1.46,0.93
shed,1851.00,15.43,1.01,0.94
depressed,1850.00,15.42,1.1,0.89
copy,1850.00,15.42,1.22,0.89
domination,1849.00,15.41,2.3,0.9
remarkably,1849.00,15.41,1.32,0.93
degradation,1848.00,15.40,2.45,0.87
arrow,1844.00,15.37,1.13,0.88
line,1844.00,15.37,0.44,0.92
convinced,1843.00,15.36,0.82,0.94
credit,1843.00,15.36,0.87,0.94
leisure,1841.00,15.34,1.74,0.87
killing,1840.00,15.33,0.65,0.89
pack,1839.00,15.33,0.44,0.86
seldom,1838.00,15.32,1.21,0.94
closed,1837.00,15.31,0.79,0.92
contributor,1837.00,15.31,1.13,0.94
tide,1837.00,15.31,0.89,0.88
elaborate,1834.00,15.28,1.12,0.92
interior,1834.00,15.28,0.85,0.91
dad,1834.00,15.28,0.17,0.91
spectacular,1833.00,15.28,0.94,0.88
interestingly,1833.00,15.28,1.99,0.94
opt,1831.00,15.26,1.08,0.95
maternal,1830.00,15.25,2.02,0.87
nurture,1830.00,15.25,1.47,0.94
soon,1826.00,15.22,0.44,0.94
current,1826.00,15.22,1.48,0.84
innocent,1825.00,15.21,0.52,0.9
lie,1823.00,15.19,0.53,0.93
accordance,1822.00,15.18,2.53,0.93
complicate,1820.00,15.17,1.63,0.94
creator,1819.00,15.16,1.24,0.9
breakdown,1816.00,15.13,1.3,0.93
systematically,1815.00,15.13,2.32,0.94
snake,1814.00,15.12,0.66,0.84
somebody,1813.00,15.11,0.14,0.93
nonprofit,1811.00,15.09,0.76,0.92
optimistic,1810.00,15.08,0.91,0.92
offender,1810.00,15.08,1.06,0.86
ahead,1808.00,15.07,0.48,0.93
guarantee,1808.00,15.07,1.14,0.91
outlet,1808.00,15.07,1.04,0.91
dark,1806.00,15.05,0.35,0.9
cult,1805.00,15.04,1.27,0.86
primitive,1804.00,15.03,1.57,0.9
inherit,1804.00,15.03,1.04,0.94
conversely,1802.00,15.02,2.56,0.94
host,1802.00,15.02,0.39,0.9
transcend,1802.00,15.02,1.95,0.91
generous,1801.00,15.01,0.83,0.95
ease,1801.00,15.01,0.63,0.94
constituent,1800.00,15.00,1.47,0.93
smoke,1800.00,15.00,0.41,0.91
trader,1800.00,15.00,1.17,0.88
stabilize,1800.00,15.00,1.49,0.91
published,1798.00,14.98,2.2,0.94
supporting,1798.00,14.98,1.38,0.94
midst,1797.00,14.98,1.01,0.92
coincide,1797.00,14.98,1.92,0.93
experiment,1796.00,14.97,1.27,0.91
hand,1795.00,14.96,0.32,0.95
educated,1794.00,14.95,1.6,0.92
assurance,1794.00,14.95,1.46,0.89
fulfil,1793.00,14.94,1.55,0.94
advisor,1792.00,14.93,1.54,0.94
dependency,1791.00,14.93,2.35,0.9
illuminate,1791.00,14.93,1.33,0.92
wind,1791.00,14.93,0.48,0.92
mandatory,1789.00,14.91,1.25,0.9
structured,1789.00,14.91,2.62,0.92
maximum,1789.00,14.91,0.37,0.9
tear,1789.00,14.91,0.37,0.94
toy,1788.00,14.90,0.42,0.93
supplement,1788.00,14.90,1.91,0.95
locally,1786.00,14.88,1.51,0.92
outdoor,1785.00,14.88,0.71,0.89
curious,1784.00,14.87,0.58,0.94
enhanced,1784.00,14.87,2.25,0.91
swim,1784.00,14.87,0.51,0.89
sustainability,1783.00,14.86,2.64,0.82
structure,1776.00,14.80,2.28,0.94
shallow,1775.00,14.79,0.87,0.85
odd,1774.00,14.78,0.48,0.93
pervasive,1774.00,14.78,1.96,0.94
descendant,1774.00,14.78,1.68,0.89
sink,1773.00,14.78,0.5,0.92
expanding,1771.00,14.76,1.78,0.92
diary,1771.00,14.76,0.95,0.87
ridge,1770.00,14.75,0.61,0.85
gradual,1769.00,14.74,1.97,0.93
appropriately,1767.00,14.73,1.78,0.95
large,1767.00,14.73,1.28,0.94
cousin,1766.00,14.72,0.47,0.93
thrive,1765.00,14.71,1.04,0.93
masculine,1764.00,14.70,2.13,0.84
light,1764.00,14.70,0.39,0.91
conflicting,1763.00,14.69,1.82,0.94
mature,1763.00,14.69,1.24,0.91
silver,1763.00,14.69,0.3,0.91
kick,1763.00,14.69,0.28,0.93
casual,1762.00,14.68,0.82,0.83
rigid,1762.00,14.68,1.4,0.93
legally,1760.00,14.67,1.04,0.93
exemplify,1760.00,14.67,2.35,0.93
appropriation,1758.00,14.65,1.63,0.91
vacation,1757.00,14.64,0.46,0.93
incomplete,1756.00,14.63,1.98,0.94
closure,1756.00,14.63,1.46,0.88
directive,1756.00,14.63,2.19,0.85
activate,1756.00,14.63,1.63,0.9
confirmation,1755.00,14.63,1.25,0.85
luck,1755.00,14.63,0.39,0.93
shopping,1755.00,14.63,0.47,0.92
eleven,1752.00,14.60,0.91,0.94
alongside,1751.00,14.59,0.9,0.94
await,1751.00,14.59,0.75,0.93
locus,1749.00,14.58,3.16,0.88
specialty,1749.00,14.58,0.96,0.93
cure,1747.00,14.56,1.05,0.92
loose,1746.00,14.55,0.5,0.93
primary,1746.00,14.55,0.72,0.93
supposedly,1746.00,14.55,1.04,0.93
exacerbate,1746.00,14.55,2.07,0.93
proximity,1745.00,14.54,1.8,0.92
scrutiny,1745.00,14.54,1.15,0.93
bureaucratic,1744.00,14.53,1.78,0.91
juvenile,1744.00,14.53,1.25,0.87
propaganda,1744.00,14.53,1.45,0.88
anxious,1742.00,14.52,0.8,0.95
grave,1741.00,14.51,0.62,0.89
deliberately,1741.00,14.51,1.06,0.93
exchange,1741.00,14.51,0.89,0.93
indirectly,1740.00,14.50,2.02,0.94
refine,1739.00,14.49,1.84,0.92
hidden,1738.00,14.48,0.82,0.93
worthy,1738.00,14.48,1.21,0.94
efficiently,1738.00,14.48,1.72,0.91
fade,1738.00,14.48,0.5,0.92
Caribbean,1736.00,14.47,1.373730689,0.868911537
barrel,1736.00,14.47,0.56,0.89
roll,1736.00,14.47,0.43,0.93
balanced,1735.00,14.46,1.05,0.96
tomorrow,1735.00,14.46,0.19,0.95
watch,1734.00,14.45,0.4,0.92
mate,1733.00,14.44,0.83,0.87
like,1732.00,14.43,0.15,0.94
inconsistent,1732.00,14.43,2.02,0.92
considering,1731.00,14.43,1.16,0.95
mutually,1731.00,14.43,2.43,0.94
left,1729.00,14.41,1.21,0.91
refusal,1729.00,14.41,1.54,0.92
substitute,1729.00,14.41,1.52,0.94
emotionally,1729.00,14.41,1.05,0.92
praise,1727.00,14.39,1.14,0.92
long-standing,1726.00,14.38,1.72,0.93
offspring,1726.00,14.38,1.8,0.85
sir,1725.00,14.38,0.23,0.91
revival,1724.00,14.37,1.3,0.88
apparatus,1722.00,14.35,2,0.92
clay,1722.00,14.35,0.6,0.89
sum,1722.00,14.35,1.47,0.94
biography,1720.00,14.33,1.11,0.9
thorough,1719.00,14.33,1.5,0.95
rush,1718.00,14.32,0.3,0.94
foster,1717.00,14.31,1.1,0.81
robust,1717.00,14.31,1.61,0.92
ranking,1717.00,14.31,1.12,0.92
worry,1717.00,14.31,0.8,0.88
observed,1716.00,14.30,3.23,0.87
contractor,1715.00,14.29,0.73,0.88
sensation,1714.00,14.28,0.93,0.9
merge,1714.00,14.28,1.31,0.92
informed,1712.00,14.27,2.22,0.91
exile,1710.00,14.25,1.25,0.87
plausible,1709.00,14.24,2.01,0.94
workforce,1707.00,14.23,1.61,0.91
maturity,1706.00,14.22,1.73,0.91
mediation,1706.00,14.22,2.45,0.87
practically,1706.00,14.22,0.79,0.95
irrigation,1705.00,14.21,1.96,0.84
livestock,1705.00,14.21,1.58,0.85
millennium,1705.00,14.21,1.07,0.91
harassment,1704.00,14.20,0.98,0.78
crash,1702.00,14.18,0.49,0.89
expectancy,1702.00,14.18,2.21,0.86
uncle,1701.00,14.18,0.31,0.91
calendar,1699.00,14.16,1.03,0.9
convenience,1699.00,14.16,1.11,0.93
continuously,1698.00,14.15,1.96,0.91
descent,1697.00,14.14,1.31,0.9
hunger,1697.00,14.14,0.99,0.9
tear,1696.00,14.13,0.28,0.92
spell,1696.00,14.13,0.93,0.93
inhabit,1693.00,14.11,1.55,0.92
invitation,1692.00,14.10,0.84,0.93
ceiling,1691.00,14.09,0.43,0.92
miss,1691.00,14.09,0.36,0.87
adhere,1691.00,14.09,1.74,0.94
tired,1690.00,14.08,0.3,0.95
intensify,1688.00,14.07,1.51,0.93
continuum,1687.00,14.06,2.59,0.92
destiny,1687.00,14.06,1.21,0.91
amount,1686.00,14.05,1.37,0.93
eighth,1685.00,14.04,0.91,0.89
elaborate,1684.00,14.03,1.97,0.93
reform,1684.00,14.03,1.23,0.91
amazing,1682.00,14.02,0.34,0.92
conquest,1679.00,13.99,2.19,0.89
darkness,1676.00,13.97,0.41,0.9
repair,1675.00,13.96,0.81,0.91
endless,1674.00,13.95,0.72,0.94
copper,1674.00,13.95,1.08,0.87
excitement,1674.00,13.95,0.67,0.93
dream,1673.00,13.94,0.42,0.91
discharge,1669.00,13.91,1.79,0.89
focal,1666.00,13.88,2.05,0.86
paradox,1666.00,13.88,1.84,0.92
distortion,1665.00,13.88,2.14,0.9
restraint,1665.00,13.88,1.28,0.89
post,1664.00,13.87,0.76,0.93
foreigner,1663.00,13.86,1.08,0.89
across,1661.00,13.84,0.55,0.85
sort,1661.00,13.84,0.93,0.89
sympathy,1660.00,13.83,0.9,0.89
qualification,1659.00,13.83,1.79,0.92
enlist,1656.00,13.80,1.21,0.88
cow,1655.00,13.79,0.54,0.88
planned,1654.00,13.78,1.33,0.92
remains,1654.00,13.78,1.2,0.86
rival,1654.00,13.78,0.9,0.92
substitute,1654.00,13.78,1.31,0.95
crude,1651.00,13.76,1.11,0.91
alien,1649.00,13.74,0.71,0.89
temporarily,1649.00,13.74,1.19,0.93
protest,1649.00,13.74,0.68,0.9
gasoline,1648.00,13.73,0.81,0.85
prestige,1647.00,13.73,1.8,0.92
critically,1647.00,13.73,1.71,0.95
contradictory,1646.00,13.72,2.1,0.92
mysterious,1646.00,13.72,0.82,0.91
alignment,1646.00,13.72,2.31,0.88
decision-making,1645.00,13.71,2.61,0.92
irrelevant,1645.00,13.71,1.42,0.94
pine,1645.00,13.71,0.52,0.86
migrate,1645.00,13.71,1.7,0.88
genius,1644.00,13.70,0.8,0.92
addiction,1643.00,13.69,1.01,0.86
petroleum,1643.00,13.69,1.64,0.89
poster,1643.00,13.69,0.75,0.89
infect,1643.00,13.69,1.19,0.88
arbitrary,1642.00,13.68,2.11,0.93
repression,1642.00,13.68,2.16,0.88
devoted,1641.00,13.68,1.17,0.94
endorsement,1641.00,13.68,1.17,0.9
reminder,1641.00,13.68,0.91,0.95
oversee,1641.00,13.68,0.77,0.94
drought,1640.00,13.67,1.23,0.83
rigorous,1638.00,13.65,1.73,0.95
concession,1638.00,13.65,1.09,0.88
speculation,1638.00,13.65,0.94,0.94
trap,1638.00,13.65,0.66,0.89
feasible,1637.00,13.64,2.14,0.91
specification,1634.00,13.62,2.2,0.85
steadily,1634.00,13.62,1.05,0.93
announcement,1633.00,13.61,0.67,0.91
preclude,1633.00,13.61,2.37,0.94
earthquake,1632.00,13.60,0.74,0.81
horror,1632.00,13.60,0.6,0.9
traumatic,1631.00,13.59,1.84,0.88
certificate,1631.00,13.59,1.17,0.93
constituency,1631.00,13.59,1.6,0.9
guiding,1630.00,13.58,1.65,0.94
managing,1630.00,13.58,1.02,0.94
optimism,1630.00,13.58,1.23,0.88
steam,1630.00,13.58,0.82,0.84
forbid,1630.00,13.58,1.02,0.93
penetrate,1629.00,13.58,1.26,0.91
killer,1627.00,13.56,0.41,0.91
niche,1627.00,13.56,1.39,0.91
contemplate,1627.00,13.56,1.06,0.93
wrap,1627.00,13.56,0.3,0.93
broken,1626.00,13.55,0.43,0.93
alien,1625.00,13.54,1.09,0.88
plain,1625.00,13.54,0.65,0.93
expanded,1623.00,13.53,1.74,0.92
inferior,1623.00,13.53,2.1,0.93
certainty,1622.00,13.52,1.31,0.91
zero,1621.00,13.51,1.03,0.89
anniversary,1621.00,13.51,0.6,0.92
multiply,1621.00,13.51,1.55,0.93
sad,1620.00,13.50,0.32,0.94
convenient,1619.00,13.49,1.23,0.92
endangered,1619.00,13.49,1.18,0.8
lean,1619.00,13.49,0.2,0.94
Nazi,1617.00,13.48,1.24880221,0.881786346
empathy,1617.00,13.48,1.93,0.86
scandal,1617.00,13.48,0.51,0.9
pig,1616.00,13.47,0.63,0.9
extensively,1616.00,13.47,1.89,0.94
omit,1614.00,13.45,1.23,0.94
thread,1613.00,13.44,0.99,0.85
obscure,1613.00,13.44,1.41,0.93
wake,1612.00,13.43,0.24,0.92
blend,1610.00,13.42,0.69,0.92
suspend,1610.00,13.42,0.72,0.93
ignorance,1607.00,13.39,1.39,0.93
salient,1606.00,13.38,2.88,0.9
eighteenth,1606.00,13.38,2.33,0.89
enlightenment,1605.00,13.38,2.31,0.88
openness,1604.00,13.37,1.99,0.91
subgroup,1603.00,13.36,3.05,0.89
Greek,1602.00,13.35,1.512822381,0.918388101
dissolve,1602.00,13.35,0.85,0.92
past,1601.00,13.34,0.65,0.93
wedding,1599.00,13.33,0.32,0.91
compound,1598.00,13.32,1.66,0.94
inclusive,1597.00,13.31,2.34,0.91
sensory,1597.00,13.31,2.39,0.9
presume,1597.00,13.31,1.36,0.94
reconcile,1596.00,13.30,1.66,0.93
straightforward,1594.00,13.28,1.5,0.93
decision-making,1594.00,13.28,2.42,0.92
posit,1593.00,13.28,2.88,0.92
privileged,1592.00,13.27,1.69,0.92
plantation,1592.00,13.27,1.31,0.86
aide,1591.00,13.26,0.51,0.87
super,1590.00,13.25,0.41,0.87
conjunction,1589.00,13.24,2.09,0.93
safely,1589.00,13.24,0.85,0.91
unnecessary,1587.00,13.23,1.21,0.95
seasonal,1586.00,13.22,1.46,0.86
badly,1586.00,13.22,0.53,0.94
cumulative,1584.00,13.20,2.38,0.91
bold,1583.00,13.19,0.72,0.95
voting,1583.00,13.19,0.78,0.88
pragmatic,1581.00,13.18,2,0.91
technician,1581.00,13.18,0.96,0.85
effect,1581.00,13.18,1.94,0.93
complementary,1580.00,13.17,2.46,0.93
predictable,1580.00,13.17,1.35,0.93
inclined,1579.00,13.16,1.31,0.94
susceptible,1578.00,13.15,1.84,0.92
skull,1577.00,13.14,0.8,0.88
upgrade,1577.00,13.14,1.38,0.85
hunter,1576.00,13.13,0.31,0.9
shrink,1576.00,13.13,0.9,0.92
least,1575.00,13.13,1.18,0.94
continental,1575.00,13.13,1.46,0.87
remainder,1572.00,13.10,1.77,0.93
co-worker,1571.00,13.09,1.21,0.88
besides,1570.00,13.08,0.83,0.95
receiver,1570.00,13.08,0.57,0.83
triumph,1567.00,13.06,0.96,0.92
succession,1566.00,13.05,1.59,0.93
lucky,1564.00,13.03,0.31,0.93
dissatisfaction,1564.00,13.03,2.38,0.87
funeral,1564.00,13.03,0.46,0.87
wilderness,1563.00,13.03,0.65,0.89
explode,1563.00,13.03,0.52,0.89
invade,1563.00,13.03,0.92,0.92
decisive,1562.00,13.02,1.55,0.91
registration,1562.00,13.02,1.08,0.91
pop,1562.00,13.02,0.38,0.89
utilization,1561.00,13.01,2.93,0.88
sheer,1560.00,13.00,0.82,0.95
satisfied,1559.00,12.99,1.09,0.92
crack,1559.00,12.99,0.49,0.89
oak,1558.00,12.98,0.48,0.82
publishing,1558.00,12.98,0.97,0.93
concede,1558.00,12.98,0.82,0.93
vague,1557.00,12.98,1.02,0.94
span,1556.00,12.97,1.3,0.91
suspension,1556.00,12.97,0.97,0.86
title,1555.00,12.96,1.14,0.94
renewed,1554.00,12.95,1.5,0.93
counter,1552.00,12.93,0.43,0.91
wherever,1552.00,12.93,0.68,0.94
deadly,1551.00,12.93,0.61,0.92
spontaneous,1551.00,12.93,1.66,0.93
enhancement,1551.00,12.93,2.13,0.89
shade,1549.00,12.91,0.46,0.89
radical,1545.00,12.88,1.64,0.9
self-determination,1545.00,12.88,2.72,0.85
circulate,1545.00,12.88,1.37,0.93
superiority,1544.00,12.87,2.12,0.92
strip,1544.00,12.87,0.72,0.92
marked,1540.00,12.83,1.61,0.94
periodic,1539.00,12.83,2.11,0.89
southeastern,1539.00,12.83,1.65,0.89
contention,1538.00,12.82,1.62,0.93
regulator,1538.00,12.82,0.88,0.89
pro,1537.00,12.81,0.72,0.89
whereby,1535.00,12.79,2.4,0.94
participating,1534.00,12.78,2.55,0.91
tragic,1534.00,12.78,0.83,0.89
ring,1534.00,12.78,0.33,0.93
bubble,1533.00,12.78,0.73,0.83
top,1532.00,12.77,0.43,0.91
accord,1532.00,12.77,2.11,0.92
tip,1532.00,12.77,0.59,0.88
noble,1530.00,12.75,1.18,0.91
hybrid,1529.00,12.74,1.66,0.84
preceding,1529.00,12.74,2.63,0.93
uncomfortable,1529.00,12.74,0.64,0.95
elimination,1529.00,12.74,1.89,0.94
thereafter,1529.00,12.74,1.62,0.94
methodological,1528.00,12.73,3.35,0.91
devil,1528.00,12.73,0.61,0.87
accumulation,1527.00,12.73,2.34,0.92
discern,1527.00,12.73,2.08,0.93
bother,1526.00,12.72,0.31,0.95
offset,1525.00,12.71,1.44,0.91
profoundly,1523.00,12.69,1.6,0.93
shame,1522.00,12.68,0.66,0.85
collectively,1522.00,12.68,1.93,0.94
admire,1522.00,12.68,0.55,0.93
seventh,1521.00,12.68,0.73,0.94
machinery,1521.00,12.68,1.34,0.9
span,1521.00,12.68,1.52,0.86
twenty-five,1520.00,12.67,1.07,0.93
variant,1520.00,12.67,2.52,0.89
competitiveness,1519.00,12.66,2.14,0.87
rebuild,1519.00,12.66,0.65,0.93
feminist,1518.00,12.65,1.37,0.84
grief,1517.00,12.64,0.74,0.84
discrete,1516.00,12.63,2.84,0.89
seal,1515.00,12.63,0.72,0.89
aging,1514.00,12.62,1.11,0.91
cubic,1513.00,12.61,1.98,0.83
turnover,1513.00,12.61,1.27,0.86
inherently,1513.00,12.61,2.02,0.94
pump,1512.00,12.60,0.72,0.86
burning,1511.00,12.59,0.74,0.91
recount,1511.00,12.59,1.12,0.92
resume,1511.00,12.59,0.68,0.92
mall,1509.00,12.58,0.48,0.89
burial,1508.00,12.57,1.43,0.86
mentally,1508.00,12.57,0.85,0.92
disciplinary,1507.00,12.56,2.15,0.92
rid,1504.00,12.53,0.48,0.94
local,1503.00,12.53,0.86,0.89
wholly,1503.00,12.53,1.7,0.92
enduring,1502.00,12.52,1.65,0.92
displace,1501.00,12.51,1.71,0.93
favorite,1500.00,12.50,0.42,0.92
probe,1500.00,12.50,1.61,0.88
relational,1498.00,12.48,3.33,0.83
revised,1498.00,12.48,2.06,0.93
broaden,1498.00,12.48,1.62,0.95
quota,1497.00,12.48,1.32,0.88
defender,1496.00,12.47,0.94,0.89
offensive,1495.00,12.46,0.48,0.9
inject,1495.00,12.46,1.18,0.88
naked,1493.00,12.44,0.49,0.89
perpetuate,1493.00,12.44,1.98,0.93
complement,1492.00,12.43,1.63,0.94
knife,1490.00,12.42,0.3,0.91
curiosity,1489.00,12.41,0.85,0.93
restructuring,1488.00,12.40,1.87,0.92
anymore,1488.00,12.40,0.22,0.94
reconstruct,1488.00,12.40,1.89,0.93
supervise,1487.00,12.39,1.24,0.93
arguably,1485.00,12.38,1.61,0.93
ghost,1483.00,12.36,0.49,0.89
voice,1481.00,12.34,0.96,0.94
successive,1480.00,12.33,2.16,0.93
deployment,1480.00,12.33,1.44,0.88
financing,1479.00,12.33,1.18,0.91
deck,1478.00,12.32,0.4,0.86
definitive,1477.00,12.31,1.6,0.94
sympathetic,1477.00,12.31,1.09,0.93
dirty,1476.00,12.30,0.43,0.94
newsletter,1476.00,12.30,1.4,0.91
depart,1476.00,12.30,0.95,0.94
plus,1475.00,12.29,0.82,0.9
strand,1474.00,12.28,0.93,0.92
adulthood,1473.00,12.28,2.01,0.9
rebellion,1473.00,12.28,1.46,0.89
quietly,1471.00,12.26,0.36,0.95
reserve,1470.00,12.25,1.11,0.88
sheep,1468.00,12.23,0.76,0.87
procedural,1467.00,12.23,2.43,0.87
bell,1466.00,12.22,0.22,0.92
vigorous,1464.00,12.20,1.44,0.94
nationally,1464.00,12.20,1.04,0.94
editorial,1463.00,12.19,0.96,0.93
advertisement,1463.00,12.19,1.33,0.91
empowerment,1463.00,12.19,2.12,0.9
resonance,1462.00,12.18,2.06,0.88
eagle,1459.00,12.16,0.53,0.87
flaw,1459.00,12.16,1.12,0.93
inference,1459.00,12.16,2.66,0.89
deprive,1459.00,12.16,1.43,0.93
steep,1456.00,12.13,0.68,0.89
contradict,1456.00,12.13,1.68,0.93
unstable,1455.00,12.13,1.72,0.93
descend,1455.00,12.13,0.68,0.92
hypothetical,1452.00,12.10,2.14,0.89
triangle,1452.00,12.10,1.16,0.88
appendix,1451.00,12.09,2.77,0.93
multimedia,1451.00,12.09,1.77,0.86
audio,1450.00,12.08,1.05,0.85
puzzle,1450.00,12.08,0.77,0.89
infer,1450.00,12.08,2.61,0.92
elephant,1448.00,12.07,0.76,0.85
precious,1446.00,12.05,0.69,0.92
fence,1446.00,12.05,0.38,0.88
petition,1446.00,12.05,1.3,0.86
distinguished,1445.00,12.04,1.2,0.93
distort,1445.00,12.04,1.6,0.93
manual,1444.00,12.03,1.65,0.88
guardian,1443.00,12.03,1.15,0.93
suburb,1443.00,12.03,0.58,0.91
enrich,1443.00,12.03,1.63,0.94
closest,1442.00,12.02,0.85,0.9
differentiation,1442.00,12.02,3.1,0.92
unfold,1442.00,12.02,0.84,0.93
escape,1441.00,12.01,0.73,0.92
flourish,1441.00,12.01,1.38,0.93
high-tech,1437.00,11.98,0.85,0.9
peculiar,1435.00,11.96,1.15,0.93
beneficiary,1435.00,11.96,1.48,0.87
freeze,1435.00,11.96,0.4,0.9
prone,1434.00,11.95,1.38,0.94
furniture,1434.00,11.95,0.38,0.9
reformer,1434.00,11.95,1.59,0.9
coat,1433.00,11.94,0.29,0.91
confer,1433.00,11.94,1.76,0.94
lifelong,1432.00,11.93,1.19,0.93
forced,1431.00,11.93,1.32,0.92
simultaneous,1429.00,11.91,2.34,0.93
gauge,1429.00,11.91,1.31,0.84
high-quality,1428.00,11.90,1.79,0.88
running,1428.00,11.90,0.49,0.92
delicate,1426.00,11.88,0.63,0.92
intriguing,1426.00,11.88,1.28,0.9
hit,1426.00,11.88,0.29,0.92
hungry,1425.00,11.88,0.48,0.92
rent,1424.00,11.87,0.74,0.9
scarce,1423.00,11.86,1.59,0.92
commissioner,1423.00,11.86,0.5,0.9
mosque,1423.00,11.86,1.07,0.81
immense,1422.00,11.85,1.19,0.93
lengthy,1421.00,11.84,1.31,0.94
boast,1420.00,11.83,0.8,0.93
fascinating,1419.00,11.83,0.73,0.91
activism,1419.00,11.83,1.65,0.89
reversal,1419.00,11.83,1.76,0.92
joke,1416.00,11.80,0.3,0.94
gentle,1415.00,11.79,0.52,0.93
potent,1415.00,11.79,1.39,0.93
peninsula,1415.00,11.79,1.27,0.89
fuel,1415.00,11.79,0.99,0.93
skeptical,1414.00,11.78,0.94,0.94
landmark,1414.00,11.78,0.85,0.9
alleviate,1414.00,11.78,1.87,0.94
anybody,1413.00,11.78,0.16,0.94
constructive,1412.00,11.77,1.78,0.94
fragile,1412.00,11.77,0.89,0.93
alarm,1412.00,11.77,0.6,0.89
donation,1412.00,11.77,0.73,0.89
lane,1412.00,11.77,0.43,0.88
differing,1411.00,11.76,2.4,0.94
price,1411.00,11.76,0.99,0.88
apartheid,1410.00,11.75,1.59,0.84
imperative,1410.00,11.75,2.16,0.93
urgent,1408.00,11.73,1.05,0.94
industrialized,1407.00,11.73,2.01,0.89
sociology,1407.00,11.73,1.95,0.92
detail,1405.00,11.71,1.28,0.95
desperate,1404.00,11.70,0.46,0.93
color,1403.00,11.69,0.8,0.9
bitter,1402.00,11.68,0.55,0.92
drill,1402.00,11.68,0.9,0.87
refuge,1400.00,11.67,0.83,0.9
reservoir,1399.00,11.66,1.21,0.84
infinite,1398.00,11.65,1.6,0.89
bulletin,1398.00,11.65,1.38,0.92
group,1398.00,11.65,2.18,0.91
theoretically,1396.00,11.63,2.03,0.93
tackle,1396.00,11.63,0.65,0.92
ineffective,1394.00,11.62,1.93,0.94
amid,1393.00,11.61,0.61,0.93
grip,1393.00,11.61,0.58,0.93
nation-state,1393.00,11.61,3,0.86
deliberate,1392.00,11.60,1.42,0.93
probable,1391.00,11.59,1.56,0.92
consolidate,1391.00,11.59,1.72,0.91
adjacent,1390.00,11.58,1.51,0.87
inexpensive,1390.00,11.58,1.17,0.88
elevation,1390.00,11.58,1.5,0.86
pit,1390.00,11.58,0.63,0.87
total,1390.00,11.58,1,0.93
crazy,1389.00,11.58,0.21,0.95
unrelated,1388.00,11.57,1.86,0.94
unified,1386.00,11.55,1.7,0.92
opposing,1385.00,11.54,1.47,0.92
aftermath,1385.00,11.54,1.12,0.9
dawn,1385.00,11.54,0.46,0.89
lineage,1385.00,11.54,2.42,0.85
retired,1384.00,11.53,0.56,0.93
unfamiliar,1384.00,11.53,1.23,0.93
transit,1383.00,11.53,0.87,0.84
divert,1383.00,11.53,1.17,0.91
adversary,1382.00,11.52,1.66,0.81
grandmother,1382.00,11.52,0.33,0.9
acknowledgment,1381.00,11.51,2.01,0.92
beyond,1381.00,11.51,0.87,0.94
builder,1380.00,11.50,0.79,0.89
accountable,1379.00,11.49,1.11,0.93
discriminate,1379.00,11.49,1.53,0.93
swing,1379.00,11.49,0.32,0.91
devastating,1378.00,11.48,0.86,0.94
denote,1377.00,11.48,2.58,0.9
hinder,1377.00,11.48,2.06,0.94
friction,1376.00,11.47,1.73,0.85
pretend,1376.00,11.47,0.39,0.93
bullet,1374.00,11.45,0.38,0.89
treasure,1373.00,11.44,0.64,0.91
pilgrim,1371.00,11.43,1.36,0.85
ample,1369.00,11.41,1.35,0.95
temptation,1369.00,11.41,1.22,0.91
culminate,1367.00,11.39,1.86,0.93
default,1366.00,11.38,1.62,0.87
equilibrium,1366.00,11.38,2.42,0.88
mandate,1366.00,11.38,1.69,0.94
determinant,1365.00,11.38,3.09,0.9
seller,1365.00,11.38,0.87,0.89
